City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,vila do maio,15.1333,-23.2167,26.44,83,100,5.23,CV,1690428114
342,diffa,13.3154,12.6113,28.91,48,75,1.54,NE,1690428114
343,bejaia,36.7559,5.0843,22.6,83,20,2.06,DZ,1690428114
344,mizdah,31.4451,12.9801,23.69,64,0,2.12,LY,1690428047
345,katsuura,35.1333,140.3,29.05,70,45,3.98,JP,1690428115
346,putina,-15.4667,-69.4333,4.5,80,2,4.7,PE,1690428115
347,egilsstadir,65.2653,-14.3948,5.95,93,100,5.66,IS,1690428116
348,hats'avan,39.4641,45.9705,15.28,75,0,0.97,AM,1690428117
349,borogontsy,62.6683,131.1683,23.11,40,64,1.37,RU,1690428117
350,flying fish cove,-10.4217,105.6791,24.82,88,100,5.66,CX,1690428003
351,rongelap,11.1635,166.8941,28.35,77,100,8.03,MH,1690428118
352,huaicheng,23.9051,112.1931,35.05,51,15,1.4,CN,1690428118
353,durban,-29.8579,31.0292,11.51,52,0,4.64,ZA,1690428119
354,st. john's,47.5649,-52.7093,19.04,80,100,8.75,CA,1690428119
355,atchison,39.563,-95.1216,29.52,86,1,2.99,US,1690428119
356,swellendam,-34.0226,20.4417,9.86,85,0,1.5,ZA,1690428120
357,brokopondo,4.75,-55.1667,25.16,89,93,2.82,SR,1690427954
358,margate,51.3813,1.3862,16.61,94,100,4.92,GB,1690428120
359,saudarkrokur,65.7461,-19.6394,7.44,90,17,2.28,IS,1690428121
360,mosjoen,65.836,13.1908,14.12,94,100,1.03,NO,1690428121
361,mukalla,14.5425,49.1242,29.02,66,55,1.05,YE,1690428122
362,carrigaline,51.8117,-8.3986,15.86,94,75,3.6,IE,1690428122
